06613686-n	diplomacy book_keeping administration factotum agriculture electrotechnology person telephony mechanics fishing betting social card music post drawing telegraphy time_period archery furniture dance chemistry sexuality anthropology philately military grammar oceanography radio exchange architecture numismatics physics insurance engineering publishing psychological_features mythology athletics hockey law tourism ethnology philology geography town_planning religion industry art graphic_arts transport cinema paranormal history telecommunication radiology sculpture buildings plastic_arts sociology philosophy racing school psychoanalysis finance university play genetics theatre mathematics pure_science economy tax archaeology electronics sport sub literature astronautics pedagogy astronomy psychiatry heraldry politics banking humanities tennis social_science linguistics commerce photography theology enterprise psychology dentistry tv computer_science aviation electricity body_care fashion folklore optics paleontology quality free_time painting acoustics roman_catholic artisanship
03032252-n	buildings town_planning tv cinema telecommunication theatre
09765278-n	literature architecture agriculture person heraldry sociology publishing mythology humanities school tennis music university linguistics law diving theatre photography philology archery tv pure_science art body_care dance folklore paleontology free_time painting cinema history telecommunication acoustics
00907919-n	cinema photography
01002740-v	tv cinema telecommunication radiology graphic_arts theatre photography
01711965-v	cinema theatre photography tv
06262567-n	tv cinema industry art dance telecommunication graphic_arts theatre photography optics radio+tv
03667235-n	cinema radio+tv theatre tv
00908133-n	cinema photography
02631349-v	telecommunication cinema art theatre
10855047-n	cinema theatre
01617192-v	diplomacy book_keeping administration factotum agriculture electrotechnology person telephony mechanics gastronomy fishing betting social card music biology astrology baseball veterinary post drawing telegraphy time_period archery furniture food dance chemistry bowling sexuality anthropology philately military grammar oceanography radio exchange railway color architecture numismatics rowing physics metrology skiing nautical insurance engineering publishing psychological_features mythology athletics hockey animals geometry law topography tourism ethnology philology geography town_planning religion industry art medicine graphic_arts transport chess swimming cinema paranormal hydraulics history jewellery telecommunication radiology statistics sculpture cycling buildings plastic_arts rugby fencing sociology philosophy racing school money psychoanalysis finance university play genetics entomology football boxing diving theatre mathematics biochemistry animal_husbandry pure_science economy tax archaeology volleyball electronics sport mountaineering table_tennis golf health earth cricket occultism sub literature astronautics pedagogy astronomy psychiatry pharmacy meteorology heraldry politics basketball anatomy banking environment skating geology home humanities tennis wrestling plants social_science number linguistics badminton commerce photography theology enterprise psychology dentistry gas tv computer_science aviation electricity body_care fashion folklore vehicles surgery atomic_physic optics paleontology quality soccer free_time painting physiology acoustics applied_science roman_catholic hunting artisanship
03029274-a	cinema theatre
10089484-n	telecommunication cinema theatre
00908292-n	cinema photography
00007846-n	diplomacy book_keeping administration factotum agriculture electrotechnology person telephony mechanics gastronomy fishing betting social card music biology astrology baseball veterinary post drawing telegraphy time_period archery furniture food dance chemistry bowling sexuality anthropology philately military grammar oceanography radio exchange railway color architecture numismatics rowing physics metrology skiing nautical insurance engineering publishing psychological_features mythology athletics hockey animals geometry law topography tourism ethnology philology geography town_planning religion industry art medicine graphic_arts transport chess swimming cinema paranormal hydraulics history jewellery telecommunication radiology statistics sculpture cycling buildings plastic_arts rugby fencing sociology philosophy racing school money psychoanalysis finance university play genetics entomology football boxing diving theatre mathematics biochemistry animal_husbandry pure_science economy tax archaeology volleyball electronics sport mountaineering table_tennis golf health earth cricket occultism sub literature astronautics pedagogy astronomy psychiatry pharmacy meteorology heraldry politics basketball anatomy banking environment skating geology home humanities tennis wrestling plants social_science number linguistics badminton commerce photography theology enterprise psychology dentistry gas tv computer_science aviation electricity body_care fashion folklore vehicles surgery atomic_physic optics paleontology quality soccer free_time painting physiology acoustics applied_science roman_catholic hunting artisanship
01721415-v	telecommunication cinema theatre
00908405-n	cinema computer_science graphic_arts
01720980-v	telecommunication cinema theatre
05929008-n	literature humanities school tv cinema music university art dance telecommunication sociology theatre
10481561-n	cinema optics
03798982-n	buildings cinema town_planning
03362293-n	buildings cinema town_planning
02631537-v	telecommunication cinema theatre
01859995-v	cinema
01712450-v	cinema photography
02842219-n	buildings cinema town_planning
01712298-v	cinema
02769669-n	cinema electrotechnology tv
00960562-v	cinema music photography
00960734-v	cinema music
05929670-n	literature folklore mythology pedagogy cinema heraldry theatre
